Tl1,Src1,Dst1,Protocol1,dure1,moy1,length1,DIS1,DIO1,DAO1,dure2,moy2,length2,DIS2,DIO2,DAO2,on,tx,rx,int,x,y,rank,attack,class
55.217702,32,99,1,0.126,0.030,2910,0,30,0,0.000,0.000,0,0,0,0,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
58.988575,32,1,1,0.124,0.002,152,0,0,2,0.325,0.078,5928,0,0,78,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
59.864551,32,1,1,0.000,0.001,76,0,0,1,0.116,0.036,2736,0,0,36,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
117.537646,32,1,1,0.000,0.001,76,0,0,1,0.000,0.000,0,0,0,0,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
129.413015,32,99,1,0.126,0.030,2910,0,30,0,0.000,0.000,0,0,0,0,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
132.366016,32,1,1,0.000,0.001,76,0,0,1,0.043,0.014,1064,0,0,14,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
134.614368,32,1,1,0.000,0.001,76,0,0,1,0.163,0.048,3648,0,0,48,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
177.254675,32,6,1,0.066,0.017,1734,0,17,0,0.000,0.000,0,0,0,0,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
203.702108,32,99,1,0.126,0.030,2910,0,30,0,0.000,0.000,0,0,0,0,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
252.08756,32,9,1,0.008,0.003,306,0,3,0,0.000,0.000,0,0,0,0,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
254.264423,32,1,1,0.000,0.001,76,0,0,1,0.000,0.000,0,0,0,0,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
266.489154,32,1,1,0.000,0.001,76,0,0,1,0.076,0.024,1824,0,0,24,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
309.999533,32,1,1,0.000,0.001,76,0,0,1,0.004,0.002,204,0,2,0,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
312.996511,32,99,1,0.022,0.006,582,0,6,0,0.000,0.000,0,0,0,0,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
313.100505,32,99,1,0.100,0.024,2328,0,24,0,0.000,0.000,0,0,0,0,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
320.999869,32,99,1,0.095,0.023,2231,0,23,0,0.000,0.000,0,0,0,0,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
321.030202,32,99,1,0.026,0.007,679,0,7,0,0.000,0.000,0,0,0,0,0.82,0.14,0.03,0.02,34.34,29.70,1,oui,rank
2595.194617,32,31,1,0.004,0.002,204,0,2,0,0.000,0.000,0,0,0,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2712.945073,32,31,1,0.012,0.004,408,0,4,0,0.000,0.000,0,0,0,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2812.908301,32,7,1,0.062,0.016,1632,0,16,0,0.000,0.000,0,0,0,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2818.491171,32,99,1,0.126,0.030,2910,0,30,0,0.000,0.000,0,0,0,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2968.805438,32,1,1,0.000,0.001,102,0,1,0,0.000,0.000,0,0,0,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
3037.589575,32,9,1,0.112,0.028,2856,0,28,0,0.000,0.000,0,0,0,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
3147.67866,32,99,1,0.126,0.030,2910,0,30,0,0.000,0.000,0,0,0,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
3205.756293,32,6,1,0.033,0.009,918,0,9,0,0.000,0.000,0,0,0,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
3288.820441,32,31,1,0.046,0.012,1224,0,12,0,0.000,0.000,0,0,0,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
3351.530646,32,7,1,0.037,0.010,1020,0,10,0,0.000,0.000,0,0,0,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
3517.963567,32,9,1,0.017,0.005,510,0,5,0,0.000,0.000,0,0,0,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
3622.288166,32,1,1,0.000,0.001,102,0,1,0,0.000,0.000,0,0,0,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
3741.946295,32,31,1,0.100,0.025,2550,0,25,0,0.000,0.000,0,0,0,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
3920.19776,32,31,1,0.124,0.031,3162,0,31,0,0.000,0.000,0,0,0,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4018.908301,32,7,1,0.062,0.016,1632,0,16,0,0.000,0.000,0,0,0,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4158.999166,32,99,1,0.009,0.003,291,0,3,0,0.000,0.000,0,0,0,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4159.116171,32,99,1,0.113,0.027,2619,0,27,0,0.000,0.000,0,0,0,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4175.130955,32,6,1,0.091,0.023,2346,0,23,0,0.000,0.000,0,0,0,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
